Tên tr??ng,N?m,Mã ngành,Tên ngành,T? h?p môn,?i?m chu?n,Ghi chú
H?c vi?n Báo chí và Tuyên truy?n,2017,531,"Ngành Chính tr? h?c, chuyên ngành Chính tr? h?c phát tri?n",A16; C15; D01,20,
H?c vi?n Báo chí và Tuyên truy?n,2017,532,"Ngành Chính tr? h?c, chuyên ngành Qu?n lý xã h?i",A16; C15; D01,20,
H?c vi?n Báo chí và Tuyên truy?n,2017,533,"Ngành Chính tr? h?c, chuyên ngành T? t??ng H? Chí Minh",A16; C15; D01,20,
H?c vi?n Báo chí và Tuyên truy?n,2017,535,"Ngành Chính tr? h?c, chuyên ngành V?n hóa phát tri?n",A16; C15; D01,20,
H?c vi?n Báo chí và Tuyên truy?n,2017,536,"Ngành Chính tr? h?c, chuyên ngành Chính sách công",A16; C15; D01,19,
H?c vi?n Báo chí và Tuyên truy?n,2017,538,"Ngành Chính tr? h?c, chuyên ngành Truy?n thông chính sách",A16; C15; D01,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,538M,"Ngành Chính tr? h?c, chuyên ngành Truy?n thông chính sách (S? d?ng ch?ng ch? Ti?ng Anh)",R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,602,"Ngành Báo chí, chuyên ngành Báo in",R05; R06; R15; R16,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,602M,"Ngành Báo chí, chuyên ngành Báo in (S? d?ng ch?ng ch? Ti?ng Anh)",R19,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,603,"Ngành Báo chí, chuyên ngành ?nh báo chí",R07; R08; R09; R17,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,603M,"Ngành Báo chí, chuyên ngành ?nh báo chí (S? d?ng ch?ng ch? Ti?ng Anh)",R20,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,604,"Ngành Báo chí, chuyên ngành Báo phát thanh",R05; R06; R15; R16,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,604M,"Ngành Báo chí, chuyên ngành Báo phát thanh (S? d?ng ch?ng ch? Ti?ng Anh)",R19,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,605,"Ngành Báo chí, chuyên ngành Báo truy?n hình",R05; R06; R15; R16,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,605M,"Ngành Báo chí, chuyên ngành Báo truy?n hình (S? d?ng ch?ng ch? Ti?ng Anh)",R19,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,606,"Ngành Báo chí, chuyên ngành Quay phim truy?n hình",R11; R12; R13; R18,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,606M,"Ngành Báo chí, chuyên ngành Quay phim truy?n hình (S? d?ng ch?ng ch? Ti?ng Anh)",R21,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,607,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t?",R05; R06; R15; R16,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,607M,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (S? d?ng ch?ng ch? Ti?ng Anh)",R19,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,608,"Ngành Báo chí, chuyên ngành Báo truy?n hình (ch?t l??ng cao)",R05; R06; R15; R16,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,608M,"Ngành Báo chí, chuyên ngành Báo truy?n hình (ch?t l??ng cao) (S? d?ng ch?ng ch? Ti?ng Anh)",R19,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,609,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (ch?t l??ng cao)",R05; R06; R15; R16,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,609M,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (ch?t l??ng cao) (S? d?ng ch?ng ch? Ti?ng Anh)",R19,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,610,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i",D01; D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,610M,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i (S? d?ng ch?ng ch? Ti?ng Anh)",R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,611,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t?",D01; D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,611M,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t? (S? d?ng ch?ng ch? Ti?ng Anh)",R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",D01; D72; D78,32,
H?c vi?n Báo chí và Tuyên truy?n,2017,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,614M,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao) (S? d?ng ch?ng ch? Ti?ng Anh)",R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",D01,33,
H?c vi?n Báo chí và Tuyên truy?n,2017,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,615M,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p (S? d?ng ch?ng ch? Ti?ng Anh)",R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",D01,33,
H?c vi?n Báo chí và Tuyên truy?n,2017,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,616M,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao) (S? d?ng ch?ng ch? Ti?ng Anh)",R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7220201,Ngôn ng? Anh,D01,33,
H?c vi?n Báo chí và Tuyên truy?n,2017,7220201,Ngôn ng? Anh,D01; D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7220201M,Ngành Ngôn ng? Anh (S? d?ng ch?ng ch? Ti?ng Anh),R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7229001,Tri?t h?c,A16; C15; D01,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7229008,Ch? ngh?a xã h?i khoa h?c,A16; C15; D01,20,
H?c vi?n Báo chí và Tuyên truy?n,2017,7229010,L?ch s?,C00; C03; C19; D14,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7229010M,"Ngành L?ch s?, chuyên ngành L?ch s? ??ng C?ng s?n Vi?t Nam",R23,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7310102,Kinh t? chính tr?,A16; C15; D01,22,
H?c vi?n Báo chí và Tuyên truy?n,2017,7310202,Xây d?ng ??ng và chính quy?n nhà n??c,A16; C15; D01,22,
H?c vi?n Báo chí và Tuyên truy?n,2017,7310205,Qu?n lý nhà n??c,A16; C15; D01,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7310205M,Ngành Qu?n lý nhà n??c (S? d?ng ch?ng ch? Ti?ng Anh),R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7310301,Xã h?i h?c,A16; C15; D01,22,
H?c vi?n Báo chí và Tuyên truy?n,2017,7310301M,Ngành Xã h?i h?c (S? d?ng ch?ng ch? Ti?ng Anh),R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320104,Truy?n thông ?a ph??ng ti?n,A16; C15; D01,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320104M,Ngành Truy?n thông ?a ph??ng ti?n (S? d?ng ch?ng ch? Ti?ng Anh),R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320105,Truy?n thông ??i chúng,A16; C15; D01,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320105M,Ngành Truy?n thông ??i chúng (S? d?ng ch?ng ch? Ti?ng Anh),R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320107,Truy?n thông qu?c t?,D01; D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320107M,Ngành Truy?n thông qu?c t? (S? d?ng ch?ng ch? Ti?ng Anh),R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320110,Qu?ng cáo,D01,32,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320110,Qu?ng cáo,D72; D78,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320110M,Ngành Qu?ng cáo (S? d?ng ch?ng ch? Ti?ng Anh),R24; R25; R26,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320401,Xu?t b?n,A16; C15,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320401,Xu?t b?n,D01,23,
H?c vi?n Báo chí và Tuyên truy?n,2017,7320401M,Ngành Xu?t b?n,R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7340403,Qu?n lý công,A16; C15; D01,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7340403M,Ngành Qu?n lý công (S? d?ng ch?ng ch? Ti?ng Anh),R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2017,7760101,Công tác xã h?i,A16; C15; D01,22,
H?c vi?n Báo chí và Tuyên truy?n,2017,7760101M,Ngành Công tác xã h?i (S? d?ng ch?ng ch? Ti?ng Anh),R22,---,
H?c vi?n Báo chí và Tuyên truy?n,2018,527,"Ngành Kinh t?, chuyên ngành Qu?n lý kinh t?",D01; R22,19.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,527,"Ngành Kinh t?, chuyên ngành Qu?n lý kinh t?",A16,19.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,527,"Ngành Kinh t?, chuyên ngành Qu?n lý kinh t?",C15,20.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,528,"Ngành Kinh t?, chuyên ngành Kinh t? và Qu?n lý (ch?t l??ng cao)",D01; R22,18.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,528,"Ngành Kinh t?, chuyên ngành Kinh t? và Qu?n lý (ch?t l??ng cao)",A16,17.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,528,"Ngành Kinh t?, chuyên ngành Kinh t? và Qu?n lý (ch?t l??ng cao)",C15,18.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,529,"Ngành Kinh t?, chuyên ngành Kinh t? và Qu?n lý",D01; R22,19.85,
H?c vi?n Báo chí và Tuyên truy?n,2018,529,"Ngành Kinh t?, chuyên ngành Kinh t? và Qu?n lý",A16,19.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,529,"Ngành Kinh t?, chuyên ngành Kinh t? và Qu?n lý",C15,20.6,
H?c vi?n Báo chí và Tuyên truy?n,2018,530,"Ngành Chính tr? h?c, chuyên ngành Qu?n lý ho?t ??ng t? t??ng - v?n hóa",A16; C15; D01; R22,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,531,"Ngành Chính tr? h?c, chuyên ngành Chính tr? h?c phát tri?n",A16; C15; D01; R22,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,532,"Ngành Chính tr? h?c, chuyên ngành Qu?n lý xã h?i",D01; R22,19,
H?c vi?n Báo chí và Tuyên truy?n,2018,532,"Ngành Chính tr? h?c, chuyên ngành Qu?n lý xã h?i",A16,18.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,532,"Ngành Chính tr? h?c, chuyên ngành Qu?n lý xã h?i",C15,19,
H?c vi?n Báo chí và Tuyên truy?n,2018,533,"Ngành Chính tr? h?c, chuyên ngành T? t??ng H? Chí Minh",A16; C15; D01; R22,16,
H?c vi?n Báo chí và Tuyên truy?n,2018,535,"Ngành Chính tr? h?c, chuyên ngành V?n hóa phát tri?n",A16; C15; D01; R22,16.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,536,"Ngành Chính tr? h?c, chuyên ngành Chính sách công",A16; C15; D01; R22,18.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,538,"Ngành Chính tr? h?c, chuyên ngành Truy?n thông chính sách",A16; C15; D01; R22,16,
H?c vi?n Báo chí và Tuyên truy?n,2018,602,"Ngành Báo chí, chuyên ngành Báo in",R15,20.6,
H?c vi?n Báo chí và Tuyên truy?n,2018,602,"Ngành Báo chí, chuyên ngành Báo in",R05; R19,21.4,
H?c vi?n Báo chí và Tuyên truy?n,2018,602,"Ngành Báo chí, chuyên ngành Báo in",R06,20.6,
H?c vi?n Báo chí và Tuyên truy?n,2018,602,"Ngành Báo chí, chuyên ngành Báo in",R16,23.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,603,"Ngành Báo chí, chuyên ngành ?nh báo chí",R07,19.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,603,"Ngành Báo chí, chuyên ngành ?nh báo chí",R08; R20,21.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,603,"Ngành Báo chí, chuyên ngành ?nh báo chí",R09,19.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,603,"Ngành Báo chí, chuyên ngành ?nh báo chí",R17,22.45,
H?c vi?n Báo chí và Tuyên truy?n,2018,604,"Ngành Báo chí, chuyên ngành Báo phát thanh",R15,20.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,604,"Ngành Báo chí, chuyên ngành Báo phát thanh",R05; R19,21.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,604,"Ngành Báo chí, chuyên ngành Báo phát thanh",R06,20.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,604,"Ngành Báo chí, chuyên ngành Báo phát thanh",R16,23.33,
H?c vi?n Báo chí và Tuyên truy?n,2018,605,"Ngành Báo chí, chuyên ngành Báo truy?n hình",R15,22.6,
H?c vi?n Báo chí và Tuyên truy?n,2018,605,"Ngành Báo chí, chuyên ngành Báo truy?n hình",R05; R19,23.4,
H?c vi?n Báo chí và Tuyên truy?n,2018,605,"Ngành Báo chí, chuyên ngành Báo truy?n hình",R06,19.13,
H?c vi?n Báo chí và Tuyên truy?n,2018,605,"Ngành Báo chí, chuyên ngành Báo truy?n hình",R16,24.62,
H?c vi?n Báo chí và Tuyên truy?n,2018,606,"Ngành Báo chí, chuyên ngành Quay phim truy?n hình",R11,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,606,"Ngành Báo chí, chuyên ngành Quay phim truy?n hình",R12; R21,17.65,
H?c vi?n Báo chí và Tuyên truy?n,2018,606,"Ngành Báo chí, chuyên ngành Quay phim truy?n hình",R13,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,606,"Ngành Báo chí, chuyên ngành Quay phim truy?n hình",R18,17.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,607,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t?",R15,21.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,607,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t?",R05; R19,22,
H?c vi?n Báo chí và Tuyên truy?n,2018,607,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t?",R06,17.88,
H?c vi?n Báo chí và Tuyên truy?n,2018,607,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t?",R16,24.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,608,"Ngành Báo chí, chuyên ngành Báo truy?n hình (ch?t l??ng cao)",R15,18.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,608,"Ngành Báo chí, chuyên ngành Báo truy?n hình (ch?t l??ng cao)",R05; R19,20.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,608,"Ngành Báo chí, chuyên ngành Báo truy?n hình (ch?t l??ng cao)",R06,18,
H?c vi?n Báo chí và Tuyên truy?n,2018,608,"Ngành Báo chí, chuyên ngành Báo truy?n hình (ch?t l??ng cao)",R16,22.2,
H?c vi?n Báo chí và Tuyên truy?n,2018,609,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (ch?t l??ng cao)",R15,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,609,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (ch?t l??ng cao)",R05; R19,19.7,
H?c vi?n Báo chí và Tuyên truy?n,2018,609,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (ch?t l??ng cao)",R06,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,609,"Ngành Báo chí, chuyên ngành Báo m?ng ?i?n t? (ch?t l??ng cao)",R16,20.53,
H?c vi?n Báo chí và Tuyên truy?n,2018,610,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i",D01; R24,25.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,610,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i",D72,25,
H?c vi?n Báo chí và Tuyên truy?n,2018,610,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i",D78,26.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,610,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i",R25,26,
H?c vi?n Báo chí và Tuyên truy?n,2018,610,"Ngành Quan h? qu?c t?, chuyên ngành Thông tin ??i ngo?i",R26,26,
H?c vi?n Báo chí và Tuyên truy?n,2018,611,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t?",D01; R24,25.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,611,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t?",D72,24.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,611,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t?",D78,26.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,611,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t?",R25,25.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,611,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? chính tr? và truy?n thông qu?c t?",R26,25.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",D01; R24,28.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",D72,28.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",D78,29.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",R25,29.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,614,"Ngành Quan h? qu?c t?, chuyên ngành Quan h? qu?c t? và truy?n thông toàn c?u (ch?t l??ng cao)",R26,29.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",D01; R24,29,
H?c vi?n Báo chí và Tuyên truy?n,2018,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",D72,28.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",D78,30.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",R25,29.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,615,"Ngành Quan h? công chúng, chuyên ngành Quan h? công chúng chuyên nghi?p",R26,29.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",D01; R24,29.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",D72,29,
H?c vi?n Báo chí và Tuyên truy?n,2018,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",D78,30.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",R25,30,
H?c vi?n Báo chí và Tuyên truy?n,2018,616,"Ngành Quan h? công chúng, chuyên ngành Truy?n thông marketing (ch?t l??ng cao)",R26,30,
H?c vi?n Báo chí và Tuyên truy?n,2018,7220201,Ngôn ng? Anh,D01; R24,28,
H?c vi?n Báo chí và Tuyên truy?n,2018,7220201,Ngôn ng? Anh,D72,27.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7220201,Ngôn ng? Anh,D78,28.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,7220201,Ngôn ng? Anh,R25,28,
H?c vi?n Báo chí và Tuyên truy?n,2018,7220201,Ngôn ng? Anh,R26,28,
H?c vi?n Báo chí và Tuyên truy?n,2018,7229001,Ngành Tri?t h?c,A16; C15; D01; R22,16,
H?c vi?n Báo chí và Tuyên truy?n,2018,7229008,Ngành Ch? ngh?a xã h?i khoa h?c,A16; C15; D01; R22,16,
H?c vi?n Báo chí và Tuyên truy?n,2018,7229010,"Ngành L?ch s?, chuyên ngành L?ch s? ??ng C?ng s?n Vi?t Nam",C00,30.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7229010,"Ngành L?ch s?, chuyên ngành L?ch s? ??ng C?ng s?n Vi?t Nam",C03,28.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7229010,"Ngành L?ch s?, chuyên ngành L?ch s? ??ng C?ng s?n Vi?t Nam",D14; R23,29.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7229010,"Ngành L?ch s?, chuyên ngành L?ch s? ??ng C?ng s?n Vi?t Nam",C19,30.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310102,Ngành Kinh t? chính tr?,D01; R22,18.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310102,Ngành Kinh t? chính tr?,A16,18.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310102,Ngành Kinh t? chính tr?,C15,19.5,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310202,Xây d?ng ??ng và chính quy?n nhà n??c,D01; R22,17.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310202,Xây d?ng ??ng và chính quy?n nhà n??c,A16,17,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310202,Xây d?ng ??ng và chính quy?n nhà n??c,C15,18,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310205,Qu?n lý nhà n??c,A16; C15; D01; R22,17.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310301,Xã h?i h?c,D01; R22,18.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310301,Xã h?i h?c,A16,18.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7310301,Xã h?i h?c,C15,19.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320104,Ngành Truy?n thông ?a ph??ng ti?n,D01; R22,21.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320104,Ngành Truy?n thông ?a ph??ng ti?n,A16,21.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320104,Ngành Truy?n thông ?a ph??ng ti?n,C15,23,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320105,Ngành Truy?n thông ??i chúng,D01; R22,20.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320105,Ngành Truy?n thông ??i chúng,A16,20.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320105,Ngành Truy?n thông ??i chúng,C15,22,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320107,Truy?n thông qu?c t?,D01; R24,27.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320107,Truy?n thông qu?c t?,D72,27.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320107,Truy?n thông qu?c t?,D78,28.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320107,Truy?n thông qu?c t?,R25,28,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320107,Truy?n thông qu?c t?,R26,28.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320110,Qu?ng cáo,D01; R24,28,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320110,Qu?ng cáo,D72,27.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320110,Qu?ng cáo,D78,28.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320110,Qu?ng cáo,R25,28,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320110,Qu?ng cáo,R26,28.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320401,Ngành Xu?t b?n,D01; R22,19.35,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320401,Ngành Xu?t b?n,A16,18.85,
H?c vi?n Báo chí và Tuyên truy?n,2018,7320401,Ngành Xu?t b?n,C15,19.85,
H?c vi?n Báo chí và Tuyên truy?n,2018,7340403,Qu?n lý công,D01; R22,16,
H?c vi?n Báo chí và Tuyên truy?n,2018,7340403,Qu?n lý công,A16,16,
H?c vi?n Báo chí và Tuyên truy?n,2018,7340403,Qu?n lý công,C15,16.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7760101,Công tác xã h?i,D01; R22,19.25,
H?c vi?n Báo chí và Tuyên truy?n,2018,7760101,Công tác xã h?i,A16,18.75,
H?c vi?n Báo chí và Tuyên truy?n,2018,7760101,Công tác xã h?i,C15,19.75,
H?c vi?n Báo chí và Tuyên truy?n,2019,7229001,Ngành Tri?t h?c,"D01, R22, A16, C15",18,
H?c vi?n Báo chí và Tuyên truy?n,2019,7229008,Ngành Ch? ngh?a xã h?i khoa h?c,"D01, R22, A16, C15",16,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310102,Ngành Kinh t? chính tr?,"D01, R22",19.95,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310102,Ngành Kinh t? chính tr?,A16,19.7,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310102,Ngành Kinh t? chính tr?,C15,20.7,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310202,Ngành Xây d?ng ??ng và chính quy?n nhà n??c,"D01, R22",17.25,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310202,Ngành Xây d?ng ??ng và chính quy?n nhà n??c,A16,17.25,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310202,Ngành Xây d?ng ??ng và chính quy?n nhà n??c,C15,18,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310301,Ngành Xã h?i h?c,"D01, R22",19.65,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310301,Ngành Xã h?i h?c,A16,19.15,
H?c vi?n Báo chí và Tuyên truy?n,2019,7310301,Ngành Xã h?i h?c,C15,20.15,
H?c vi?n Báo chí và Tuyên truy?n,2019,7320104,Ngành Truy?n thông ?a ph??ng ti?n,"D01, R22",23.75,
H?c vi?n Báo chí và Tuyên truy?n,2019,7320104,Ngành Truy?n thông ?a ph??ng ti?n,A16,23.25,
